protagoniste1	protagoniste2	description_interaction	description_medoc	mecanisme	CI	AD	PE	PC
DIGOXINE	VERAPAMIL	Precaution d'emploi Surveillance clinique, ECG et, eventuellement, controle de la digoxinemie. S'il y a lieu, adaptation de la posologie de la digoxine pendant le traitement par le verapamil et apres son arret. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Bradycardie excessive et bloc auriculo-ventriculaire par majoration des effets de la digoxine sur l'automatisme et la conduction et par diminution de l'elimination renale et extrarenale de la digoxine.			 Surveillance clinique, ECG et, eventuellement, controle de la digoxinemie. S'il y a lieu, adaptation de la posologie de la digoxine pendant le traitement par le verapamil et apres son arret. 	
DIHYDROERGOTAMINE	DILTIAZEM	CONTRE-INDICATION Ergotisme avec possibilite de necrose des extremites (inhibition du 	Voir aussi : alcaloides de l'ergot de seigle vasoconstricteurs - substrats a risque du CYP3A4	Ergotisme avec possibilite de necrose des extremites (inhibition du metabolisme hepatique de l'alcaloide de l'ergot de seigle).				
DIHYDROERGOTAMINE	EFAVIRENZ	CONTRE-INDICATION Ergotisme avec possibilite de necrose des extremites (inhibition du 	Voir aussi : alcaloides de l'ergot de seigle vasoconstricteurs - substrats a risque du CYP3A4	Ergotisme avec possibilite de necrose des extremites (inhibition du metabolisme hepatique de l'alcaloide de l'ergot de seigle).				
DIHYDROERGOTAMINE	MACROLIDES (SAUF SPIRAMYCINE)	CONTRE-INDICATION Ergotisme avec possibilite de necrose des extremites (inhibition de 	Voir aussi : alcaloides de l'ergot de seigle vasoconstricteurs - substrats a risque du CYP3A4	Ergotisme avec possibilite de necrose des extremites (inhibition de l'elimination hepatique de l'alcaloide de l'ergot de seigle).				
DIHYDROERGOTAMINE	QUINUPRISTINE	CONTRE-INDICATION Ergotisme avec possibilite de necrose des extremites (inhibition du 	Voir aussi : alcaloides de l'ergot de seigle vasoconstricteurs - substrats a risque du CYP3A4	Ergotisme avec possibilite de necrose des extremites (inhibition du metabolisme hepatique de l'alcaloide de l'ergot de seigle).				
DIHYDROERGOTAMINE	STIRIPENTOL	CONTRE-INDICATION Ergotisme avec possibilite de necrose des extremites (inhibition de 	Voir aussi : alcaloides de l'ergot de seigle vasoconstricteurs - substrats a risque du CYP3A4	Ergotisme avec possibilite de necrose des extremites (inhibition de l'elimination hepatique de l'alcaloide de l'ergot de seigle).				
DIHYDROERGOTAMINE	TRICLABENDAZOLE	CONTRE-INDICATION Respecter un delai de 24 heures entre l'arret du triclabendazole et la prise du medicament derive de l'ergot, et inversement. 	Voir aussi : alcaloides de l'ergot de seigle vasoconstricteurs - substrats a risque du CYP3A4	Ergotisme avec possibilite de necrose des extremites (inhibition du metabolisme hepatique de l'alcaloide de l'ergot de seigle).	 Respecter un delai de 24 heures entre l'arret du triclabendazole et la prise du medicament derive de l'ergot, et inversement. 			
DIHYDROERGOTAMINE	VORICONAZOLE	CONTRE-INDICATION Ergotisme avec possibilite de necrose des extremites (inhibition du 	Voir aussi : alcaloides de l'ergot de seigle vasoconstricteurs - substrats a risque du CYP3A4	Ergotisme avec possibilite de necrose des extremites (inhibition du metabolisme hepatique de l'alcaloide de l'ergot de seigle).				
DILTIAZEM	DRONEDARONE	Precaution d'emploi Debuter le traitement par l'antagoniste calcique aux posologies minimales recommandees, et ajuster les doses en fonction de l'ECG. 	Voir aussi : antagonistes des canaux calciques - antiarythmiques - antihypertenseurs sauf alpha-bloquants - bradycardisants - medicaments abaissant la pression arterielle	Risque de bradycardie ou de bloc auriculo-ventriculaire, notamment chez le sujet age. Par ailleurs, legere augmentation des concentrations de dronedarone par diminution de son metabolisme par l'antagoniste des canaux calciques.			 Debuter le traitement par l'antagoniste calcique aux posologies minimales recommandees, et ajuster les doses en fonction de l'ECG. 	
DILTIAZEM	ERGOTAMINE	CONTRE-INDICATION Ergotisme avec possibilite de necrose des extremites (inhibition du 	Voir aussi : antagonistes des canaux calciques - antiarythmiques - antihypertenseurs sauf alpha-bloquants - bradycardisants - medicaments abaissant la pression arterielle	Ergotisme avec possibilite de necrose des extremites (inhibition du metabolisme hepatique de l'alcaloide de l'ergot de seigle).				
DILTIAZEM	ESMOLOL	ASDEC - PE Association deconseillee : - en cas d'alteration de la fonction ventriculaire gauche. 	Voir aussi : antagonistes des canaux calciques - antiarythmiques - antihypertenseurs sauf alpha-bloquants - bradycardisants - medicaments abaissant la pression arterielle	 : - si la fonction ventriculaire gauche est normale. Surveillance clinique et ECG. Troubles de l'automatisme (bradycardie excessive, arret sinusal), troubles de la conduction sino-auriculaire et auriculo-ventriculaire et defaillance cardiaque.		ASDEC - PE Association deconseillee : - en cas d'alteration de la fonction ventriculaire gauche. 	ASDEC - PE Association deconseillee : - en cas d'alteration de la fonction ventriculaire gauche. 	
DILTIAZEM	IBRUTINIB	Precaution d'emploi Surveiller clinique etroite et reduction de la dose d'ibrutinib a 140 mg par jour pendant la duree de l'association 	Voir aussi : antagonistes des canaux calciques - antiarythmiques - antihypertenseurs sauf alpha-bloquants - bradycardisants - medicaments abaissant la pression arterielle	Augmentation des concentrations plasmatiques d'ibrutinib par diminution de son metabolisme hepatique par le diltiazem.			 Surveiller clinique etroite et reduction de la dose d'ibrutinib a 140 mg par jour pendant la duree de l'association 	
DILTIAZEM	IMMUNOSUPPRESSEURS	Precaution d'emploi Dosage des concentrations sanguines de l'immunosuppresseur, controle de la fonction renale et adaptation de la posologie pendant l'association et apres son arret. 	Voir aussi : antagonistes des canaux calciques - antiarythmiques - antihypertenseurs sauf alpha-bloquants - bradycardisants - medicaments abaissant la pression arterielle	Augmentation des concentrations sanguines de l'immunosuppresseur par diminution de son metabolisme.			 Dosage des concentrations sanguines de l'immunosuppresseur, controle de la fonction renale et adaptation de la posologie pendant l'association et apres son arret. 	
DILTIAZEM	IVABRADINE	CONTRE-INDICATION Augmentation des concentrations plasmatiques de l'ivabradine et 	Voir aussi : antagonistes des canaux calciques - antiarythmiques - antihypertenseurs sauf alpha-bloquants - bradycardisants - medicaments abaissant la pression arterielle	Augmentation des concentrations plasmatiques de l'ivabradine et de ses effets indesirables, notamment cardiaques (inhibition de son metabolisme hepatique par le diltiazem), qui s'ajoutent aux effets bradycardisants de ces molecules.				
DILTIAZEM	MIDAZOLAM	Precaution d'emploi Surveillance clinique et reduction de la posologie pendant le traitement par le diltiazem. 	Voir aussi : antagonistes des canaux calciques - antiarythmiques - antihypertenseurs sauf alpha-bloquants - bradycardisants - medicaments abaissant la pression arterielle	Augmentation des concentrations plasmatiques de midazolam par diminution de son metabolisme hepatique, avec majoration de la sedation. Thesaurus des interactions medicamenteuses			 Surveillance clinique et reduction de la posologie pendant le traitement par le diltiazem. 	
DILTIAZEM	NIFEDIPINE	CONTRE-INDICATION Augmentation importantes des concentrations de nifedipine par 	Voir aussi : antagonistes des canaux calciques - antiarythmiques - antihypertenseurs sauf alpha-bloquants - bradycardisants - medicaments abaissant la pression arterielle	Augmentation importantes des concentrations de nifedipine par diminution de son metabolisme hepatique par le diltiazem, avec risque d'hypotension severe.				
DILTIAZEM	OLAPARIB	Association DECONSEILLEE Si l'association ne peut etre evitee, limiter la dose d'olaparib a 200 mg deux fois par jour. 	Voir aussi : antagonistes des canaux calciques - antiarythmiques - antihypertenseurs sauf alpha-bloquants - bradycardisants - medicaments abaissant la pression arterielle	Augmentation des concentrations plasmatiques d'olaparib par le diltiazem.		 Si l'association ne peut etre evitee, limiter la dose d'olaparib a 200 mg deux fois par jour. 		
DILTIAZEM	PIMOZIDE	CONTRE-INDICATION Risque majore de troubles du rythme ventriculaire, notamment de 	Voir aussi : antagonistes des canaux calciques - antiarythmiques - antihypertenseurs sauf alpha-bloquants - bradycardisants - medicaments abaissant la pression arterielle	Risque majore de troubles du rythme ventriculaire, notamment de torsades de pointes.				
DILTIAZEM	SIMVASTATINE	Precaution d'emploi Ne pas depasser la posologie de 20 mg/jour de simvastatine. Si l'objectif therapeutique n'est pas atteint a cette posologie, utiliser une autre statine non concernee par ce type d'interaction. 	Voir aussi : antagonistes des canaux calciques - antiarythmiques - antihypertenseurs sauf alpha-bloquants - bradycardisants - medicaments abaissant la pression arterielle	Risque majore d'effets indesirables (concentration-dependants) a type de rhabdomyolyse, par diminution du metabolisme hepatique de l'hypocholesterolemiant.			 Ne pas depasser la posologie de 20 mg/jour de simvastatine. Si l'objectif therapeutique n'est pas atteint a cette posologie, utiliser une autre statine non concernee par ce type d'interaction. 	
DILTIAZEM	TAMSULOSINE	Precaution d'emploi Surveillance clinique et adaptation de la posologie de la tamsulosine pensant le traitement par l'inhibiteur enzymatique et apres son arret, le cas echeant. 	Voir aussi : antagonistes des canaux calciques - antiarythmiques - antihypertenseurs sauf alpha-bloquants - bradycardisants - medicaments abaissant la pression arterielle	Risque de majoration des effets indesirables de la tamsulosine, par inhibition de son metabolisme hepatique.			 Surveillance clinique et adaptation de la posologie de la tamsulosine pensant le traitement par l'inhibiteur enzymatique et apres son arret, le cas echeant. 	
DILTIAZEM	TICAGRELOR	A prendre en compte Risque d'augmentation des concentrations plasmatiques de 	Voir aussi : antagonistes des canaux calciques - antiarythmiques - antihypertenseurs sauf alpha-bloquants - bradycardisants - medicaments abaissant la pression arterielle	Risque d'augmentation des concentrations plasmatiques de ticagrelor par diminution de son metabolisme hepatique.				
DIMETHYLE ( FUMARATE DE)	VACCINS VIVANTS ATTENUES	A prendre en compte Possible augmentation du risque infectieux.		Possible augmentation du risque infectieux.				
DIPROPHYLLINE	PROBENECIDE	Precaution d'emploi Reduire la posologie de diprophylline pendant le traitement par le probenecide. 		Risque de surdosage par augmentation des concentrations plasmatiques de diprophylline (inhibition de sa secretion tubulaire renale).			 Reduire la posologie de diprophylline pendant le traitement par le probenecide. 	
DIPYRIDAMOLE	THEINE	Precaution d'emploi Eviter la consommation de produits a base de theine dans les 24 heures qui precedent une imagerie myocardique avec le dipyridamole. 		Avec le dipyridamole par voie injectable : reduction de l'effet vasodilatateur du dipyridamole par la theine.			 Eviter la consommation de produits a base de theine dans les 24 heures qui precedent une imagerie myocardique avec le dipyridamole. 	
DIPYRIDAMOLE	THEOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)	Precaution d'emploi Interrompre un traitement par theophylline au moins 5 jours avant une imagerie myocardique avec le dipyridamole. 		Avec le dipyridamole par voie injectable : reduction de l'effet vasodilatateur du dipyridamole par la theophylline.			 Interrompre un traitement par theophylline au moins 5 jours avant une imagerie myocardique avec le dipyridamole. 	
DISOPYRAMIDE	INDUCTEURS ENZYMATIQUES	Precaution d'emploi Surveillance clinique et eventuellement adaptation de la posologie du disopyramide pendant l'associaiton et 1 a 2 semaines apres l'arret de l'inducteur. 	Voir aussi : antiarythmiques - antiarythmiques classe I (sauf lidocaine) - antiarythmiques classe Ia - bradycardisants - medicaments atropiniques - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Risque de diminution des concentrations du disopyramide par l'inducteur. Thesaurus des interactions medicamenteuses			 Surveillance clinique et eventuellement adaptation de la posologie du disopyramide pendant l'associaiton et 1 a 2 semaines apres l'arret de l'inducteur. 	
DISOPYRAMIDE	INHIBITEURS PUISSANTS DU CYP3A4	Precaution d'emploi Surveillance clinique et adaptation eventuelle de la posologie du disopyramide. 	Voir aussi : antiarythmiques - antiarythmiques classe I (sauf lidocaine) - antiarythmiques classe Ia - bradycardisants - medicaments atropiniques - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Risque d'augmentation des effets indesirables du disopyramide par diminution de son metabolisme.			 Surveillance clinique et adaptation eventuelle de la posologie du disopyramide. 	
